CONTINENT,LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Labour Productivity Value,Labour Compensation Value,Multifactor Productivity Value,G20 Country? Yes/No
Australia,AUS,TOT,IDX2010_1,A,2019,1.010416771,,,Yes
Australia,AUS,TOT,IDX2010_1,A,2020,1.015390261,,,
Europe,AUT,TOT,IDX2010_1,A,1976,0.564192227,,,No
Europe,AUT,TOT,IDX2010_1,A,1977,0.586229074,,,No
Europe,AUT,TOT,IDX2010_1,A,1978,0.582557496,,,No
Europe,AUT,TOT,IDX2010_1,A,1979,0.610773422,,,No
Europe,AUT,TOT,IDX2010_1,A,1980,0.616420935,,,No
Europe,AUT,TOT,IDX2010_1,A,1981,0.619499487,,,No
Europe,AUT,TOT,IDX2010_1,A,1982,0.639123099,,,No
Europe,AUT,TOT,IDX2010_1,A,1983,0.659964986,,,No
Europe,AUT,TOT,IDX2010_1,A,1984,0.661194707,,,No
Europe,AUT,TOT,IDX2010_1,A,1985,0.676337897,,,No
Europe,AUT,TOT,IDX2010_1,A,1986,0.691332215,,,No
Europe,AUT,TOT,IDX2010_1,A,1987,0.69802364,,,No
Europe,AUT,TOT,IDX2010_1,A,1988,0.718435744,,,No
Europe,AUT,TOT,IDX2010_1,A,1989,0.736560051,,,No
Europe,AUT,TOT,IDX2010_1,A,1990,0.756291572,,,No
Europe,AUT,TOT,IDX2010_1,A,1991,0.771391768,,,No
Europe,AUT,TOT,IDX2010_1,A,1992,0.785881411,,,No
Europe,AUT,TOT,IDX2010_1,A,1993,0.795064239,,,No
Europe,AUT,TOT,IDX2010_1,A,1994,0.815259969,,,No
Europe,AUT,TOT,IDX2010_1,A,1995,0.837187634,70.453389,,No
Europe,AUT,TOT,IDX2010_1,A,1996,0.853925231,70.431001,89.496686,No
Europe,AUT,TOT,IDX2010_1,A,1997,0.866851206,70.931316,89.773145,No
Europe,AUT,TOT,IDX2010_1,A,1998,0.888626944,73.641165,92.117428,No
Europe,AUT,TOT,IDX2010_1,A,1999,0.905047437,75.053614,93.11624,No
Europe,AUT,TOT,IDX2010_1,A,2000,0.930482043,77.017862,94.370952,No
Europe,AUT,TOT,IDX2010_1,A,2001,0.934630894,78.552044,94.364909,No
Europe,AUT,TOT,IDX2010_1,A,2002,0.949346405,80.429136,95.028137,No
Europe,AUT,TOT,IDX2010_1,A,2003,0.953133844,82.180145,94.835439,No
Europe,AUT,TOT,IDX2010_1,A,2004,0.970511383,83.536212,96.046578,No
Europe,AUT,TOT,IDX2010_1,A,2005,0.982084713,85.866085,97.591945,No
Europe,AUT,TOT,IDX2010_1,A,2006,1.000905215,89.272312,99.64642,No
Europe,AUT,TOT,IDX2010_1,A,2007,1.018382612,92.083271,101.631246,No
Europe,AUT,TOT,IDX2010_1,A,2008,1.010331363,94.884743,101.185121,No
Europe,AUT,TOT,IDX2010_1,A,2009,0.980432987,98.895518,99.006805,No
Europe,AUT,TOT,IDX2010_1,A,2010,0.990488808,100,100,No
Europe,AUT,TOT,IDX2010_1,A,2011,1.005036919,102.035219,100.697491,No
Europe,AUT,TOT,IDX2010_1,A,2012,1.00043072,105.835285,100.980382,No
Europe,AUT,TOT,IDX2010_1,A,2013,0.996876092,108.931548,100.687379,No
Europe,AUT,TOT,IDX2010_1,A,2014,0.995172906,111.351066,100.52151,No
Europe,AUT,TOT,IDX2010_1,A,2015,1,115.012113,101.293801,No
Europe,AUT,TOT,IDX2010_1,A,2016,1.007797756,116.808226,101.077649,No
Europe,AUT,TOT,IDX2010_1,A,2017,1.017408787,118.544508,101.668928,No
Europe,AUT,TOT,IDX2010_1,A,2018,1.027289013,121.257291,,No
Europe,AUT,TOT,IDX2010_1,A,2019,1.02919002,,,No
Europe,AUT,TOT,IDX2010_1,A,2020,1.036563134,,,No
Europe,BEL,TOT,IDX2010_1,A,1960,0.309805425,,,No
Europe,BEL,TOT,IDX2010_1,A,1961,0.322756447,,,No
Europe,BEL,TOT,IDX2010_1,A,1962,0.33423193,,,No
Europe,BEL,TOT,IDX2010_1,A,1963,0.346471905,,,No
Europe,BEL,TOT,IDX2010_1,A,1964,0.365248517,,,No
Europe,BEL,TOT,IDX2010_1,A,1965,0.376868529,,,No
Europe,BEL,TOT,IDX2010_1,A,1966,0.387173053,,,No
Europe,BEL,TOT,IDX2010_1,A,1967,0.403949288,,,No
Europe,BEL,TOT,IDX2010_1,A,1968,0.421273679,,,No
Europe,BEL,TOT,IDX2010_1,A,1969,0.441520332,,,No
Europe,BEL,TOT,IDX2010_1,A,1970,0.468472929,,,No
Europe,BEL,TOT,IDX2010_1,A,1971,0.482871922,,,No
Europe,BEL,TOT,IDX2010_1,A,1972,0.509361804,,,No
Europe,BEL,TOT,IDX2010_1,A,1973,0.536002962,,,No
Europe,BEL,TOT,IDX2010_1,A,1974,0.549718817,,,No
Europe,BEL,TOT,IDX2010_1,A,1975,0.55005762,,,No
Europe,BEL,TOT,IDX2010_1,A,1976,0.583837132,,,No
Europe,BEL,TOT,IDX2010_1,A,1977,0.58973753,,,No
Europe,BEL,TOT,IDX2010_1,A,1978,0.605340864,,,No
Europe,BEL,TOT,IDX2010_1,A,1979,0.613661481,,,No
Europe,BEL,TOT,IDX2010_1,A,1980,0.642190158,,,No
Europe,BEL,TOT,IDX2010_1,A,1981,0.652566102,,,No
Europe,BEL,TOT,IDX2010_1,A,1982,0.665070925,,,No
Europe,BEL,TOT,IDX2010_1,A,1983,0.67591205,,,No
Europe,BEL,TOT,IDX2010_1,A,1984,0.692914571,,,No
Europe,BEL,TOT,IDX2010_1,A,1985,0.700932187,,86.593007,No
Europe,BEL,TOT,IDX2010_1,A,1986,0.709163887,,87.43992,No
Europe,BEL,TOT,IDX2010_1,A,1987,0.720334299,,88.506106,No
Europe,BEL,TOT,IDX2010_1,A,1988,0.739960031,,90.726692,No
Europe,BEL,TOT,IDX2010_1,A,1989,0.7540194,,91.890952,No
Europe,BEL,TOT,IDX2010_1,A,1990,0.769282774,,92.105482,No
Europe,BEL,TOT,IDX2010_1,A,1991,0.780885708,,93.900411,No
Europe,BEL,TOT,IDX2010_1,A,1992,0.793847711,,95.28297,No
Europe,BEL,TOT,IDX2010_1,A,1993,0.791305941,,95.67828,No
Europe,BEL,TOT,IDX2010_1,A,1994,0.820318447,,97.915017,No
Europe,BEL,TOT,IDX2010_1,A,1995,0.834025459,67.425882,96.426295,No
Europe,BEL,TOT,IDX2010_1,A,1996,0.845046709,68.924417,97.643007,No
Europe,BEL,TOT,IDX2010_1,A,1997,0.870476534,70.7056,98.796838,No
Europe,BEL,TOT,IDX2010_1,A,1998,0.872376371,71.904669,97.583642,No
Europe,BEL,TOT,IDX2010_1,A,1999,0.891172502,74.249545,98.718059,No
Europe,BEL,TOT,IDX2010_1,A,2000,0.905376112,75.062715,98.775172,No
Europe,BEL,TOT,IDX2010_1,A,2001,0.900338088,78.064107,97.438322,No
Europe,BEL,TOT,IDX2010_1,A,2002,0.918101805,81.5182,98.423786,No
Europe,BEL,TOT,IDX2010_1,A,2003,0.925969305,83.112007,98.468101,No
Europe,BEL,TOT,IDX2010_1,A,2004,0.950286367,84.534333,100.428819,No
Europe,BEL,TOT,IDX2010_1,A,2005,0.956431434,86.328823,100.644026,No
Europe,BEL,TOT,IDX2010_1,A,2006,0.969552789,89.347953,100.915143,No
Europe,BEL,TOT,IDX2010_1,A,2007,0.986644864,92.343237,101.752002,No
Europe,BEL,TOT,IDX2010_1,A,2008,0.976717453,96.02096,100.411963,No
Europe,BEL,TOT,IDX2010_1,A,2009,0.956331476,98.592226,98.451243,No
Europe,BEL,TOT,IDX2010_1,A,2010,0.976304666,100,100,No
Europe,BEL,TOT,IDX2010_1,A,2011,0.980442287,102.386801,99.328181,No
Europe,BEL,TOT,IDX2010_1,A,2012,0.978486807,105.580283,98.566201,No
Europe,BEL,TOT,IDX2010_1,A,2013,0.983668341,108.437635,98.561901,No
Europe,BEL,TOT,IDX2010_1,A,2014,0.991681934,109.651568,98.980502,No
Europe,BEL,TOT,IDX2010_1,A,2015,1,109.917941,99.706966,No
Europe,BEL,TOT,IDX2010_1,A,2016,1.001707656,110.287772,99.535566,No
Europe,BEL,TOT,IDX2010_1,A,2017,1.005166395,112.127297,99.383682,No
Europe,BEL,TOT,IDX2010_1,A,2018,1.006478905,114.016877,,No
Europe,BEL,TOT,IDX2010_1,A,2019,1.00668969,,,No
Europe,BEL,TOT,IDX2010_1,A,2020,1.010636241,,,No
North America,CAN,TOT,IDX2010_1,A,1960,0.550336269,,,Yes
North America,CAN,TOT,IDX2010_1,A,1961,0.544373618,,,Yes
North America,CAN,TOT,IDX2010_1,A,1962,0.568763615,,,Yes
North America,CAN,TOT,IDX2010_1,A,1963,0.585177742,,,Yes
North America,CAN,TOT,IDX2010_1,A,1964,0.601841464,,,Yes
North America,CAN,TOT,IDX2010_1,A,1965,0.616292811,,,Yes
North America,CAN,TOT,IDX2010_1,A,1966,0.623093646,,,Yes
North America,CAN,TOT,IDX2010_1,A,1967,0.624393952,,,Yes
North America,CAN,TOT,IDX2010_1,A,1968,0.643338536,,,Yes
North America,CAN,TOT,IDX2010_1,A,1969,0.655020564,,,Yes
North America,CAN,TOT,IDX2010_1,A,1970,0.666979798,11.023927,,Yes
North America,CAN,TOT,IDX2010_1,A,1971,0.677856441,11.894516,,Yes
North America,CAN,TOT,IDX2010_1,A,1972,0.69455987,12.970094,,Yes
North America,CAN,TOT,IDX2010_1,A,1973,0.70683903,14.17178,,Yes
North America,CAN,TOT,IDX2010_1,A,1974,0.700783247,16.371281,,Yes
North America,CAN,TOT,IDX2010_1,A,1975,0.699039409,19.009607,,Yes
North America,CAN,TOT,IDX2010_1,A,1976,0.704587154,21.914417,,Yes
North America,CAN,TOT,IDX2010_1,A,1977,0.716528062,24.001921,,Yes
North America,CAN,TOT,IDX2010_1,A,1978,0.720910793,25.368442,,Yes
North America,CAN,TOT,IDX2010_1,A,1979,0.716272603,27.195427,,Yes
North America,CAN,TOT,IDX2010_1,A,1980,0.710612056,29.774186,,Yes
North America,CAN,TOT,IDX2010_1,A,1981,0.714492676,33.612931,,Yes
North America,CAN,TOT,IDX2010_1,A,1982,0.714220753,37.801189,,Yes
North America,CAN,TOT,IDX2010_1,A,1983,0.728022474,39.615057,,Yes
North America,CAN,TOT,IDX2010_1,A,1984,0.751913472,41.39746,,Yes
North America,CAN,TOT,IDX2010_1,A,1985,0.765332044,43.107312,89.219051,Yes
North America,CAN,TOT,IDX2010_1,A,1986,0.758393848,44.386394,88.366803,Yes
North America,CAN,TOT,IDX2010_1,A,1987,0.767086332,46.477009,88.798885,Yes
North America,CAN,TOT,IDX2010_1,A,1988,0.777219455,49.279888,89.446582,Yes
North America,CAN,TOT,IDX2010_1,A,1989,0.777717609,52.058433,89.148395,Yes
North America,CAN,TOT,IDX2010_1,A,1990,0.773694482,54.81477,88.195445,Yes
North America,CAN,TOT,IDX2010_1,A,1991,0.771007277,58.312604,87.371875,Yes
North America,CAN,TOT,IDX2010_1,A,1992,0.785622808,60.516965,88.255491,Yes
North America,CAN,TOT,IDX2010_1,A,1993,0.802261258,61.495829,89.600076,Yes
North America,CAN,TOT,IDX2010_1,A,1994,0.821395977,61.743423,91.263101,Yes
North America,CAN,TOT,IDX2010_1,A,1995,0.828547202,62.63035,92.001846,Yes
North America,CAN,TOT,IDX2010_1,A,1996,0.834318959,63.443556,91.464245,Yes
North America,CAN,TOT,IDX2010_1,A,1997,0.851873882,66.027501,93.214849,Yes
North America,CAN,TOT,IDX2010_1,A,1998,0.863481313,68.408122,94.27925,Yes
North America,CAN,TOT,IDX2010_1,A,1999,0.885353718,69.920766,96.11312,Yes
North America,CAN,TOT,IDX2010_1,A,2000,0.908618533,73.904419,98.35121,Yes
North America,CAN,TOT,IDX2010_1,A,2001,0.914191755,76.034879,98.613933,Yes
North America,CAN,TOT,IDX2010_1,A,2002,0.920349627,77.587855,99.643281,Yes
North America,CAN,TOT,IDX2010_1,A,2003,0.914851709,79.340491,99.24708,Yes
North America,CAN,TOT,IDX2010_1,A,2004,0.927277598,81.696618,99.491525,Yes
North America,CAN,TOT,IDX2010_1,A,2005,0.944817437,85.391391,100.841721,Yes
North America,CAN,TOT,IDX2010_1,A,2006,0.953460382,89.401673,101.141232,Yes
North America,CAN,TOT,IDX2010_1,A,2007,0.95155587,93.279176,100.644297,Yes
North America,CAN,TOT,IDX2010_1,A,2008,0.948203533,96.243737,99.838,Yes
North America,CAN,TOT,IDX2010_1,A,2009,0.935398356,99.129899,99.09125,Yes
North America,CAN,TOT,IDX2010_1,A,2010,0.950794358,100,100,Yes
North America,CAN,TOT,IDX2010_1,A,2011,0.966239261,103.530753,101.368947,Yes
North America,CAN,TOT,IDX2010_1,A,2012,0.97083788,106.032896,100.984551,Yes
North America,CAN,TOT,IDX2010_1,A,2013,0.979860662,109.233091,101.841729,Yes
North America,CAN,TOT,IDX2010_1,A,2014,1.001730202,112.695947,103.884539,Yes
North America,CAN,TOT,IDX2010_1,A,2015,1,114.504343,103.565829,Yes
North America,CAN,TOT,IDX2010_1,A,2016,1.003646741,113.424691,104.041716,Yes
North America,CAN,TOT,IDX2010_1,A,2017,1.0146762,116.406173,105.756974,Yes
North America,CAN,TOT,IDX2010_1,A,2018,1.020077809,,,Yes
North America,CAN,TOT,IDX2010_1,A,2019,1.017332033,,,Yes
North America,CAN,TOT,IDX2010_1,A,2020,1.030605975,,,Yes
Europe,CZE,TOT,IDX2010_1,A,1993,0.58793004,,,No
Europe,CZE,TOT,IDX2010_1,A,1994,0.595858606,,,No
Europe,CZE,TOT,IDX2010_1,A,1995,0.625492168,35.943422,,No
Europe,CZE,TOT,IDX2010_1,A,1996,0.64816182,42.249998,,No
Europe,CZE,TOT,IDX2010_1,A,1997,0.648711899,46.521581,,No
Europe,CZE,TOT,IDX2010_1,A,1998,0.658052184,50.020699,,No
Europe,CZE,TOT,IDX2010_1,A,1999,0.681153165,52.513812,,No
Europe,CZE,TOT,IDX2010_1,A,2000,0.718382027,56.420199,,No
Europe,CZE,TOT,IDX2010_1,A,2001,0.74116555,64.142145,,No
Europe,CZE,TOT,IDX2010_1,A,2002,0.748110354,69.436024,,No
Europe,CZE,TOT,IDX2010_1,A,2003,0.781227749,75.410574,,No
Europe,CZE,TOT,IDX2010_1,A,2004,0.819981389,80.462464,,No
Europe,CZE,TOT,IDX2010_1,A,2005,0.857486637,83.29808,,No
Europe,CZE,TOT,IDX2010_1,A,2006,0.905550329,88.975709,,No
Europe,CZE,TOT,IDX2010_1,A,2007,0.936596142,94.642518,,No
Europe,CZE,TOT,IDX2010_1,A,2008,0.939686397,98.369475,,No
Europe,CZE,TOT,IDX2010_1,A,2009,0.912314454,97.955915,,No
Europe,CZE,TOT,IDX2010_1,A,2010,0.941447988,100,,No
Europe,CZE,TOT,IDX2010_1,A,2011,0.960832294,102.221425,,No
Europe,CZE,TOT,IDX2010_1,A,2012,0.949846393,104.701771,,No
Europe,CZE,TOT,IDX2010_1,A,2013,0.942205241,104.69803,,No
Europe,CZE,TOT,IDX2010_1,A,2014,0.9624706,106.620495,,No
Europe,CZE,TOT,IDX2010_1,A,2015,1,111.200348,,No
Europe,CZE,TOT,IDX2010_1,A,2016,1.007581679,114.010031,,No
Europe,CZE,TOT,IDX2010_1,A,2017,1.037242532,121.150676,,No
Europe,CZE,TOT,IDX2010_1,A,2018,1.050639597,130.007095,,No
Europe,CZE,TOT,IDX2010_1,A,2019,1.070571251,,,No
Europe,CZE,TOT,IDX2010_1,A,2020,1.093505622,,,No
Europe,DNK,TOT,IDX2010_1,A,1966,0.443069326,,,No
Europe,DNK,TOT,IDX2010_1,A,1967,0.467655286,,,No
Europe,DNK,TOT,IDX2010_1,A,1968,0.48992051,,,No
Europe,DNK,TOT,IDX2010_1,A,1969,0.512630607,,,No
Europe,DNK,TOT,IDX2010_1,A,1970,0.514508807,6.902826,,No
Europe,DNK,TOT,IDX2010_1,A,1971,0.530192286,7.938576,,No
Europe,DNK,TOT,IDX2010_1,A,1972,0.540488704,8.897004,,No
Europe,DNK,TOT,IDX2010_1,A,1973,0.556195416,10.312982,,No
Europe,DNK,TOT,IDX2010_1,A,1974,0.553862962,12.315047,,No
Europe,DNK,TOT,IDX2010_1,A,1975,0.55106156,14.699378,,No
Europe,DNK,TOT,IDX2010_1,A,1976,0.573904395,16.336109,,No
Europe,DNK,TOT,IDX2010_1,A,1977,0.585972415,18.399068,,No
Europe,DNK,TOT,IDX2010_1,A,1978,0.594001961,20.433134,,No
Europe,DNK,TOT,IDX2010_1,A,1979,0.610038469,22.488025,,No
Europe,DNK,TOT,IDX2010_1,A,1980,0.610595932,24.463097,,No
Europe,DNK,TOT,IDX2010_1,A,1981,0.616201875,27.471505,,No
Europe,DNK,TOT,IDX2010_1,A,1982,0.63603763,30.690781,,No
Europe,DNK,TOT,IDX2010_1,A,1983,0.652083618,33.477878,,No
Europe,DNK,TOT,IDX2010_1,A,1984,0.669569934,35.508425,,No
Europe,DNK,TOT,IDX2010_1,A,1985,0.680545516,37.60146,88.636248,No
Europe,DNK,TOT,IDX2010_1,A,1986,0.696888593,39.265283,89.778498,No
Europe,DNK,TOT,IDX2010_1,A,1987,0.693425816,43.243657,89.771588,No
Europe,DNK,TOT,IDX2010_1,A,1988,0.696684438,46.362828,89.920773,No
Europe,DNK,TOT,IDX2010_1,A,1989,0.703427646,48.853758,90.228839,No
Europe,DNK,TOT,IDX2010_1,A,1990,0.716821832,51.296856,91.355115,No
Europe,DNK,TOT,IDX2010_1,A,1991,0.733930818,53.603846,92.32411,No
Europe,DNK,TOT,IDX2010_1,A,1992,0.754385033,55.145499,93.037084,No
Europe,DNK,TOT,IDX2010_1,A,1993,0.766973394,56.510506,93.449298,No
Europe,DNK,TOT,IDX2010_1,A,1994,0.792141232,58.582212,97.971506,No
Europe,DNK,TOT,IDX2010_1,A,1995,0.811063622,60.101063,98.68607,No
Europe,DNK,TOT,IDX2010_1,A,1996,0.826375652,62.986261,99.969184,No
Europe,DNK,TOT,IDX2010_1,A,1997,0.841691205,63.952013,99.982946,No
Europe,DNK,TOT,IDX2010_1,A,1998,0.848402388,66.019766,99.054553,No
Europe,DNK,TOT,IDX2010_1,A,1999,0.866178191,67.77674,99.251549,No
Europe,DNK,TOT,IDX2010_1,A,2000,0.891987534,69.808925,100.639649,No
Europe,DNK,TOT,IDX2010_1,A,2001,0.89050073,72.310863,99.460957,No
Europe,DNK,TOT,IDX2010_1,A,2002,0.894095265,75.57111,99.123303,No
Europe,DNK,TOT,IDX2010_1,A,2003,0.905899922,78.454416,99.487385,No
Europe,DNK,TOT,IDX2010_1,A,2004,0.934982782,80.873003,101.549294,No
Europe,DNK,TOT,IDX2010_1,A,2005,0.943414308,83.661658,102.315809,No
Europe,DNK,TOT,IDX2010_1,A,2006,0.958710816,86.243414,103.215915,No
Europe,DNK,TOT,IDX2010_1,A,2007,0.94534644,90.59937,102.544495,No
Europe,DNK,TOT,IDX2010_1,A,2008,0.929505145,93.896239,100.256185,No
Europe,DNK,TOT,IDX2010_1,A,2009,0.912549073,97.290666,97.408508,No
Europe,DNK,TOT,IDX2010_1,A,2010,0.951799811,100,100,No
Europe,DNK,TOT,IDX2010_1,A,2011,0.964940928,100.380157,100.280778,No
Europe,DNK,TOT,IDX2010_1,A,2012,0.974058843,103.082451,101.266658,No
Europe,DNK,TOT,IDX2010_1,A,2013,0.983293347,104.618721,101.675741,No
Europe,DNK,TOT,IDX2010_1,A,2014,0.990588128,107.038958,102.82714,No
Europe,DNK,TOT,IDX2010_1,A,2015,1,109.767468,104.04899,No
Europe,DNK,TOT,IDX2010_1,A,2016,1.008898087,110.536238,104.480997,No
Europe,DNK,TOT,IDX2010_1,A,2017,1.014924913,112.852906,105.393516,No
Europe,DNK,TOT,IDX2010_1,A,2018,1.011094293,116.200023,,No
Europe,DNK,TOT,IDX2010_1,A,2019,1.022498878,,,No
Europe,DNK,TOT,IDX2010_1,A,2020,1.031062034,,,No
Europe,FIN,TOT,IDX2010_1,A,1960,0.251402379,,,No
Europe,FIN,TOT,IDX2010_1,A,1961,0.265472106,,,No
Europe,FIN,TOT,IDX2010_1,A,1962,0.27451669,,,No
Europe,FIN,TOT,IDX2010_1,A,1963,0.28244664,,,No
Europe,FIN,TOT,IDX2010_1,A,1964,0.297367413,,,No
Europe,FIN,TOT,IDX2010_1,A,1965,0.309530143,,,No
Europe,FIN,TOT,IDX2010_1,A,1966,0.31626691,,,No
Europe,FIN,TOT,IDX2010_1,A,1967,0.329177339,,,No
Europe,FIN,TOT,IDX2010_1,A,1968,0.341214803,,,No
Europe,FIN,TOT,IDX2010_1,A,1969,0.368381633,,,No
Europe,FIN,TOT,IDX2010_1,A,1970,0.387665365,,,No
Europe,FIN,TOT,IDX2010_1,A,1971,0.398338603,,,No
Europe,FIN,TOT,IDX2010_1,A,1972,0.424710134,,,No
Europe,FIN,TOT,IDX2010_1,A,1973,0.444401889,,,No
Europe,FIN,TOT,IDX2010_1,A,1974,0.45653414,,,No
Europe,FIN,TOT,IDX2010_1,A,1975,0.463518158,11.286042,,No
Europe,FIN,TOT,IDX2010_1,A,1976,0.468823732,13.211214,,No
Europe,FIN,TOT,IDX2010_1,A,1977,0.479949091,14.54639,,No
Europe,FIN,TOT,IDX2010_1,A,1978,0.496175813,15.393108,,No
Europe,FIN,TOT,IDX2010_1,A,1979,0.518413432,17.229772,,No
Europe,FIN,TOT,IDX2010_1,A,1980,0.529263029,19.536552,,No
Europe,FIN,TOT,IDX2010_1,A,1981,0.529465871,22.353538,,No
Europe,FIN,TOT,IDX2010_1,A,1982,0.539750023,24.670004,,No
Europe,FIN,TOT,IDX2010_1,A,1983,0.553926788,27.279579,,No
Europe,FIN,TOT,IDX2010_1,A,1984,0.567216856,30.171185,,No
Europe,FIN,TOT,IDX2010_1,A,1985,0.584928756,33.419383,66.94441,No
Europe,FIN,TOT,IDX2010_1,A,1986,0.602913358,36.250062,68.748774,No
Europe,FIN,TOT,IDX2010_1,A,1987,0.620894993,38.931422,69.892087,No
Europe,FIN,TOT,IDX2010_1,A,1988,0.646403239,42.372196,71.770486,No
Europe,FIN,TOT,IDX2010_1,A,1989,0.675100533,46.861661,73.903018,No
Europe,FIN,TOT,IDX2010_1,A,1990,0.679434951,52.04046,74.675517,No
Europe,FIN,TOT,IDX2010_1,A,1991,0.677389945,55.954706,73.180126,No
Europe,FIN,TOT,IDX2010_1,A,1992,0.70446575,57.289976,73.822626,No
Europe,FIN,TOT,IDX2010_1,A,1993,0.743687111,57.726515,76.092569,No
Europe,FIN,TOT,IDX2010_1,A,1994,0.783869836,58.951964,78.995562,No
Europe,FIN,TOT,IDX2010_1,A,1995,0.802562031,61.065582,80.785993,No
Europe,FIN,TOT,IDX2010_1,A,1996,0.820178234,62.874163,82.458337,No
Europe,FIN,TOT,IDX2010_1,A,1997,0.842540787,63.995715,85.224158,No
Europe,FIN,TOT,IDX2010_1,A,1998,0.872041736,67.229976,88.20493,No
